Date,Daily_Ridership
1/1/19,110601
1/2/19,460750
1/3/19,497421
1/4/19,472248
1/5/19,159645
1/6/19,117315
1/7/19,511506
1/8/19,553595
1/9/19,547497
1/10/19,539470
1/11/19,512067
1/12/19,164251
1/13/19,103619
1/14/19,240631
1/15/19,562203
1/16/19,578416
1/17/19,584185
1/18/19,583171
1/19/19,227946
1/20/19,129394
1/21/19,145671
1/22/19,531681
1/23/19,549776
1/24/19,550814
1/25/19,519160
1/26/19,174441
1/27/19,119855
1/28/19,586074
1/29/19,601948
1/30/19,515087
1/31/19,568235
2/1/19,543056
2/2/19,183198
2/3/19,134792
2/4/19,593241
2/5/19,650812
2/6/19,634184
2/7/19,642295
2/8/19,584990
2/9/19,191207
2/10/19,128978
2/11/19,546570
2/12/19,615663
2/13/19,641950
2/14/19,634168
2/15/19,562862
2/16/19,209365
2/17/19,145564
2/18/19,223556
2/19/19,611442
2/20/19,159084
2/21/19,589759
2/22/19,575844
2/23/19,186632
2/24/19,136371
2/25/19,586005
2/26/19,642945
2/27/19,637198
2/28/19,634426
3/1/19,527310
3/2/19,195052
3/3/19,124664
3/4/19,600676
3/5/19,646131
3/6/19,638356
3/7/19,644345
3/8/19,586923
3/9/19,248212
3/10/19,158077
3/11/19,608714
3/12/19,657106
3/13/19,652565
3/14/19,663032
3/15/19,589260
3/16/19,237304
3/17/19,155174
3/18/19,614330
3/19/19,661992
3/20/19,675049
3/21/19,635637
3/22/19,607044
3/23/19,258957
3/24/19,196303
3/25/19,633251
3/26/19,689967
3/27/19,673768
3/28/19,716395
3/29/19,638067
3/30/19,448954
3/31/19,212721
4/1/19,660798
4/2/19,712117
4/3/19,754505
4/4/19,738839
4/5/19,648270
4/6/19,491227
4/7/19,267595
4/8/19,644821
4/9/19,700815
4/10/19,684907
4/11/19,694035
4/12/19,627874
4/13/19,388395
4/14/19,202552
4/15/19,624402
4/16/19,664829
4/17/19,678088
4/18/19,675931
4/19/19,525759
4/20/19,277351
4/21/19,157472
4/22/19,600344
4/23/19,670593
4/24/19,683864
4/25/19,688040
4/26/19,614919
4/27/19,288158
4/28/19,184491
4/29/19,621438
4/30/19,670300
5/1/19,669220
5/2/19,673123
5/3/19,606422
5/4/19,242942
5/5/19,132414
5/6/19,612193
5/7/19,666602
5/8/19,665131
5/9/19,658390
5/10/19,583310
5/11/19,230173
5/12/19,135241
5/13/19,608957
5/14/19,685110
5/15/19,698011
5/16/19,690421
5/17/19,639973
5/18/19,274310
5/19/19,190800
5/20/19,623666
5/21/19,678003
5/22/19,677302
5/23/19,648607
5/24/19,578339
5/25/19,254827
5/26/19,224389
5/27/19,211727
5/28/19,600776
5/29/19,645733
5/30/19,637607
5/31/19,593134
6/1/19,237926
6/2/19,167293
6/3/19,627549
6/4/19,685816
6/5/19,690646
6/6/19,675356
6/7/19,607778
6/8/19,326896
6/9/19,188944
6/10/19,625485
6/11/19,696279
6/12/19,695090
6/13/19,671317
6/14/19,633241
6/15/19,274966
6/16/19,179344
6/17/19,626418
6/18/19,672689
6/19/19,689782
6/20/19,691477
6/21/19,653929
6/22/19,314416
6/23/19,211863
6/24/19,635564
6/25/19,686952
6/26/19,690943
6/27/19,668371
6/28/19,605904
6/29/19,249228
6/30/19,177241
7/1/19,627746
7/2/19,661770
7/3/19,635423
7/4/19,401240
7/5/19,437319
7/6/19,246779
7/7/19,174196
7/8/19,572509
7/9/19,676933
7/10/19,683083
7/11/19,661518
7/12/19,642894
7/13/19,253882
7/14/19,178534
7/15/19,636719
7/16/19,684277
7/17/19,678779
7/18/19,688809
7/19/19,635358
7/20/19,282936
7/21/19,176589
7/22/19,626342
7/23/19,694981
7/24/19,698239
7/25/19,692960
7/26/19,639653
7/27/19,281706
7/28/19,201062
7/29/19,623294
7/30/19,678343
7/31/19,657285
8/1/19,652896
8/2/19,585569
8/3/19,262019
8/4/19,186151
8/5/19,596559
8/6/19,635410
8/7/19,622706
8/8/19,628558
8/9/19,560873
8/10/19,221339
8/11/19,172211
8/12/19,584435
8/13/19,625696
8/14/19,629841
8/15/19,620768
8/16/19,567418
8/17/19,243783
8/18/19,168676
8/19/19,560667
8/20/19,597885
8/21/19,613633
8/22/19,603308
8/23/19,524401
8/24/19,234800
8/25/19,160852
8/26/19,567307
8/27/19,635325
